latitude,index
-30.1753552,111
-30.2603258,112
-30.3009398,113
-30.3289341,114
-30.3895335,115
-30.4268415,116
-30.5561248,117
-30.65039,118
-30.7693462,119
-30.8622245,120
-30.907599,121
-31.0527117,122
-31.1009355,123
-31.149245,124
-31.1494762,125
-31.1702814,126
-31.2769625,127
-31.3171927,128
-31.4192226,129
-31.4836561,130
-31.5149434,131
-31.5684778,132
-31.6330155,133
-31.7391506,134
-31.8684071,135
-32.160692,136
-32.1816885,137
-32.2236671,138
-32.2525614,139
-32.2808767,140
-32.2822397,141
-32.2895009,142
-32.2900467,143
-32.3127164,144
-32.3467309,145
-32.3715266,146
-32.3955183,147
-32.4000012,148
-32.4006624,149
-32.4034882,150
-32.4056803,151
-32.4101549,152
-32.4125478,153
-32.4132888,154
-32.4184246,155
-32.420806,156
-32.4226264,157
-32.4250099,158
-32.4254338,159
-32.4280329,160
-32.4315918,161
-32.4341911,162
-32.4368714,163
-32.43995,164
-32.441851,165
-32.4452464,166
-32.4479721,167
-32.4490598,168
-32.4504704,169
-32.4516116,170
-32.4546984,171
-32.4581566,172
-32.4608534,173
-32.4645477,174
-32.4673827,175
-32.4684219,176
-32.4707382,177
-32.4728925,178
-32.4761699,179
-32.4782516,180
-32.4811469,181
-32.4833552,182
-32.48493,183
-32.487645,184
-32.489835,185
-32.492387,186
-32.4934484,187
-32.4945226,188
-32.497021,189
-32.4989575,190
-32.5008749,191
-32.5031198,192
-32.50596,193
-32.5107734,194
-32.5140314,195
-32.5165455,196
-32.5182292,197
-32.5206268,198
-32.524415,199
-32.5279014,200
-32.528425,201
-32.5324322,202
-32.534926,203
-32.5382753,204
-32.540389,205
-32.5426954,206
-32.5448027,207
-32.546994,208
-32.5499332,209
-32.5529538,210
-32.5551598,211
-32.5604413,212
-32.5632711,213
-32.564005,214
-32.5657758,215
-32.5674847,216
-32.5683617,217
-32.5716939,218
-32.5743023,219
-32.5772225,220
-32.5784249,221
-32.5824299,222
-32.5869409,223
-32.5873906,224
-32.5884799,225
-32.5899511,226
-32.5954831,227
-32.5971553,228
-32.6059949,229
-32.609863,230
-32.6144088,231
-32.618394,232
-32.6204511,233
-32.6255147,234
-32.627367,235
-32.6402786,236
-32.6431145,237
-32.6468004,238
-32.6519044,239
-32.6533218,240
-32.6581297,241
-32.6623208,242
-32.6658975,243
-32.6710094,244
-32.6746742,245
-32.6760676,246
-32.6773293,247
-32.680183,248
-32.6835964,249
-32.6848606,250
-32.6874612,251
-32.6902062,252
-32.6949555,253
-32.6973752,254
-32.7012936,255
-32.7036409,256
-32.7064215,257
-32.7103215,258
-32.7160085,259
-32.7204354,260
-32.7206662,261
-32.725432,262
-32.7277787,263
-32.7341867,264
-32.7371107,265
-32.740143,266
-32.7438248,267
-32.7468388,268
-32.7513686,269
-32.7544003,270
-32.7573073,271
-32.7579733,272
-32.7581948,273
-32.7583214,274
-32.762286,275
-32.7638134,276
-32.7666165,277
-32.7682585,278
-32.7701941,279
-32.7723,280
-32.7741583,281
-32.7765742,282
-32.7789212,283
-32.7802864,284
-32.7834855,285
-32.7852895,286
-32.7909717,287
-32.7964372,288
-32.7981688,289
-32.799251,290
-32.8035076,291
-32.8055276,292
-32.8065643,293
-32.8070425,294
-32.8117676,295
-32.8166548,296
-32.8193417,297
-32.820087,298
-32.8256709,299
-32.8293673,300
-32.8350107,301
-32.836191,302
-32.8363435,303
-32.8367067,304
-32.8369251,305
-32.837462,306
-32.8378064,307
-32.8383827,308
-32.8388468,309
-32.839473,310
-32.839524,311
-32.8397253,312
-32.8401222,313
-32.8403022,314
-32.8423355,315
-32.8428231,316
-32.8431145,317
-32.8434481,318
-32.8443434,319
-32.8451787,320
-32.8452783,321
-32.8461183,322
-32.8473243,323
-32.8480902,324
-32.848603,325
-32.8489938,326
-32.8497692,327
-32.8506165,328
-32.8516261,329
-32.8518923,330
-32.8522993,331
-32.8526865,332
-32.8539129,333
-32.8543565,334
-32.8543903,335
-32.8548315,336
-32.8557782,337
-32.8562671,338
-32.8564246,339
-32.8568441,340
-32.8582487,341
-32.8584172,342
-32.8586833,343
-32.8591667,344
-32.8592879,345
-32.859941,346
-32.8617762,347
-32.8626576,348
-32.8635288,349
-32.8637921,350
-32.8644868,351
-32.8653739,352
-32.8656375,353
-32.8665846,354
-32.8684301,355
-32.8690316,356
-32.8696187,357
-32.8703041,358
-32.8707199,359
-32.8714537,360
-32.87157,361
-32.8728253,362
-32.8749404,363
-32.8750812,364
-32.8772345,365
-32.8776771,366
-32.879208,367
-32.8795064,368
-32.8810663,369
-32.8817559,370
-32.8829475,371
-32.8835133,372
-32.883784,373
-32.8846861,374
-32.8853913,375
-32.8868254,376
-32.887622,377
-32.8881366,378
-32.8886138,379
-32.8890106,380
-32.889801,381
-32.8907194,382
-32.8920557,383
-32.8929935,384
-32.8929946,385
-32.8937519,386
-32.8943964,387
-32.8958934,388
-32.8967838,389
-32.8982527,390
-32.8982897,391
-32.8995162,392
-32.9001814,393
-32.9020731,394
-32.902411,395
-32.9042169,396
-32.9044318,397
-32.905542,398
-32.9069733,399
-32.9069947,400
-32.9077948,401
-32.9080427,402
-32.9100718,403
-32.9114416,404
-32.9122344,405
-32.9134584,406
-32.9148606,407
-32.9159802,408
-32.9169529,409
-32.9189893,410
-32.9199921,411
-32.9210418,412
-32.9230264,413
-32.924446,414
-32.926139,415
-32.9275245,416
-32.927814,417
-32.929598,418
-32.9316239,419
-32.9317337,420
-32.9318748,421
-32.9325646,422
-32.9329252,423
-32.9329829,424
-32.9330926,425
-32.9331447,426
-32.9335524,427
-32.93396,428
-32.9340541,429
-32.9346655,430
-32.9352299,431
-32.9353867,432
-32.9356532,433
-32.9357943,434
-32.9363587,435
-32.9365468,436
-32.9365667,437
-32.9367215,438
-32.9368917,439
-32.9369231,440
-32.9369545,441
